image_path,label,ear,mar,pitch_deg,yaw_deg,ear_z,mar_z,pitch_deg_z,yaw_deg_z
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0001.png,Drowsy,0.2373296948106008,0.11896716199043436,3.4810788265416126,-0.25857039671859733,-0.18868301385516814,-1.947607618879779,0.46897295056672195,0.09496167146631602
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0002.png,Drowsy,0.25766274413446705,0.11998232867364705,2.376656047552646,0.6603019138294386,0.14369750630348813,-1.717005553923784,0.2797932657151781,0.3787708462512747
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0005.png,Drowsy,0.33722866120240935,0.11744104294872926,2.583059118176458,0.48998362218089747,1.4443465373812587,-2.2942760115737966,0.31514862834972024,0.32616517596534933
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0007.png,Drowsy,0.3149472658955365,0.11622773984192664,2.2088698022229147,0.8277426450257191,1.0801167731192778,-2.5698861221821927,0.251052687724782,0.4304877335714114
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0009.png,Drowsy,0.28944564138754253,0.11811368128184369,1.7513931773430254,0.6395992363304236,0.6632465298100935,-2.141481607315115,0.17269022964423386,0.37237647594607937
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0010.png,Drowsy,0.28877934992697074,0.11703810005605907,2.003742688478433,0.6877142499067515,0.6523547890428993,-2.385807249394788,0.21591588733371045,0.38723760751039893
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0011.png,Drowsy,0.28859679011365824,0.1178872926903931,2.5296514160857573,0.46637654766159276,0.6493705182263401,-2.1929073263958183,0.3060002728083639,0.3188737337687563
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0013.png,Drowsy,0.2955491267013025,0.11853507932324855,1.8830479958166402,0.5519722218457164,0.7630190524187445,-2.0457581560599527,0.19524175388101753,0.345311398041031
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0015.png,Drowsy,0.27910739036405474,0.11628734201723157,2.334157857916482,0.20556238099639695,0.49424909130566336,-2.5563470798471064,0.2725136312535541,0.23831688972877446
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0016.png,Drowsy,0.2602400192197387,0.11606207948657793,2.8100106280164208,0.46444218346315214,0.18582773575358105,-2.6075170065054047,0.3540237909458868,0.3182762728369261
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0017.png,Drowsy,0.2544044081647767,0.11582187492577409,2.762543749237476,0.8621784446938499,0.09043410310177882,-2.6620811176501045,0.34589305574273604,0.4411238097429127
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0018.png,Drowsy,0.26970408679892255,0.11853208781150686,2.8862146616250715,0.30824901717064235,0.34053506246495197,-2.046437698440907,0.3670769942451688,0.2700333851977413
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0019.png,Drowsy,0.26295084978645905,0.11586317994036714,2.633518583957152,0.9635199090972594,0.23014117145507684,-2.652698400687751,0.3237919721993533,0.47242482627553284
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0022.png,Drowsy,0.26112201947415437,0.1174573160861618,-0.10253903133253797,1.5104242589216539,0.20024562746639166,-2.2905794569514737,-0.14487503399007726,0.6413454373639127
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0023.png,Drowsy,0.24675714157464607,0.11851412765823997,0.7010603355855346,1.802014207863993,-0.03457432069799313,-2.05051747026435,-0.007224237689379199,0.7314078996178421
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0024.png,Drowsy,0.24542627266170813,0.1183549775150944,1.2010366858647685,1.5194947605924967,-0.05632978366370157,-2.086669515297257,0.0784181179179887,0.6441470144323871
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0025.png,Drowsy,0.2401382406155903,0.11967242591681287,2.705749441481731,1.5474355772557895,-0.14277224559395565,-1.7874020876588697,0.33616459898958106,0.6527770058131236
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0026.png,Drowsy,0.2472160865541942,0.12036447058918201,2.115587678626922,1.6299713141701466,-0.027072033726832413,-1.6301994005247,0.2350741303463046,0.6782695569707063
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0027.png,Drowsy,0.25434089244401703,0.11843073346540987,2.3090225081140145,1.8148169721552145,0.08939582360084941,-2.0694610323315166,0.2682081264733855,0.7353622487986231
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0028.png,Drowsy,0.2354084410993104,0.11653067305693694,2.064254344889967,1.5487209700213946,-0.2200893857054493,-2.5010727676067064,0.22628109919601783,0.653174020997816
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0030.png,Drowsy,0.2484118879007619,0.11815077190516773,1.6647271115373021,1.7803497123458145,-0.007524494779387272,-2.1330562181938304,0.15784495541740293,0.7247164556331176
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0031.png,Drowsy,0.2661102502334186,0.11609635245180107,0.879902096699355,1.6524559495936155,0.2817872943372611,-2.5997316677198476,0.023410070701814927,0.6852143149655026
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0032.png,Drowsy,0.17425324850877993,0.11825434950002235,0.11056093024846812,1.564061886157336,-1.2197817781192324,-2.10952785812092,-0.10837254206332066,0.6579123210847889
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0033.png,Drowsy,0.23066528864972796,0.11717158624805868,0.923060093348651,1.7731718108354289,-0.29762480369774874,-2.355484946636775,0.030802725362933037,0.7224994399705874
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0034.png,Drowsy,0.23161114383220785,0.1193652237523264,1.2958394462822571,1.8332109436278068,-0.2821630875262145,-1.8571851633458496,0.09465714945558076,0.7410435363994443
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0035.png,Drowsy,0.23242264376595675,0.11834470853059251,1.8467143778453794,1.8621392216818737,-0.26889765125091963,-2.0890021854590106,0.18901806624247403,0.7499785218465277
C:\Users\Akers\OneDrive\Masaüstü\makine yeni\data\train\Drowsy\A0036.png,Drowsy,0.23614031090819565,0.11896090155161064,1.5240835197931832,1.5681856432598837,-0.20812564805395156,-1.9490297204362563,0.13375371891927612,0.659186012855509
